"S.N.","Code","Abbr","Name","City","Mount Type","Capacity (kWp)","Day Generation (kWh)","Day Yield (kWh/kWp)","Day Est. Irradiation (kWh/m²)","Performance Ratio (%)"
"218","19071","SHIROKI","Shiroki Technico India","Gurgaon","rooftop","387.6","...","...","...","..."
"219","19072","MATEN","MATE SMIIEL","Noida","rooftop","680","...","...","...","..."
"220","19073","MATE","MATE Manesar","Gurgaon","rooftop","731.5","...","...","...","..."
"221","19074","MATEA","MATE Alwar","Bhiwani","rooftop","574.94","...","...","...","..."
"222","19075","MATEP","Mate pune","Pune","rooftop","704.14","...","...","...","..."
"223","19076","MATEB","MATE Bangalore","Bangalore","rooftop","459.9","...","...","...","..."
"224","19077","SMRN","SMR Noida","Noida","rooftop","130","...","...","...","..."
"225","19078","SMRP","SMR Pune","Pune","rooftop","111.15","...","...","...","..."
"226","19079","IFBG","IFB Industries Goa","South Goa","rooftop","1499.5","...","...","...","..."
"227","19081","Dev","Dev Deoria","Deoria","ground","56504","...","...","...","..."
"228","19082","Spicer","Spicer Dharwad","Dharwad","rooftop","257.4","...","...","...","..."
"229","19085","TOSM","Toshiba Medak","Medak","rooftop","473.85","...","...","...","..."
"230","19087","CIPGOA_1","Cipla Goa -1","Goa","rooftop","1207.45","...","...","...","..."
"231","19088","Dayanand","Mahatma Gandhi Vidya Peetha Trust","Bangalore","rooftop","237.6","...","...","...","..."
"232","19093","BOM7","Amazon BOM 7","Mumbai","rooftop","1254","...","...","...","..."
"233","19094","CIPBOM","Cipla Bommasandra","Bangalore","rooftop","276.15","...","...","...","..."
"234","19097","Sundaram","Sundaram Auto","Nalagarh","rooftop","508.2","...","...","...","..."
"235","20001","CIPBD1","Cipla Unit 1 Baddi","Baddi","rooftop","561","...","...","...","..."
"236","20002","MCC_L","MCC Lucknow","Lucknow","rooftop","162.5","...","...","...","..."
"237","20004","INNV","Innovative Retail-Vashi Mumbai","Mumbai","rooftop","132","...","...","...","..."
"238","20005","SNOWM08","Snowman M08","Raigad","rooftop","858","...","...","...","..."
"239","20006","SNOWM32","Snowman M32","Raigad","rooftop","429","...","...","...","..."
"240","20007","Snomank12","Snowman K12","Raigad","rooftop","198","...","...","...","..."
"241","20008","SNOWK","Snowman Krishnapatinam","Krishnapatnam","rooftop","330","...","...","...","..."
"242","20009","GDLC","Gateway Distriparks Ltd Cochin","Cochin","rooftop","84.5","...","...","...","..."
"243","20010","GDLM","Gateway Distriparks Ltd Mumbai","Raigad","rooftop","528","...","...","...","..."
"244","20015","INNVN80","Innovative Retail-Sec-80 Noida","Noida","rooftop","158","...","...","...","..."
"245","20019","GDLK","Gateway Distriparks Ltd Krishnapatnam","Krishnapatnam","rooftop","149.82","...","...","...","..."
"246","20020","GRES","Greaves Cotton - Shendra","Aurangabad","rooftop","1228.5","...","...","...","..."
"247","20021","SGW","Siegwerk Alwar","Alwar","rooftop","571.98","...","...","...","..."
"248","20022","FSCB","Future Supply Chain Banur","Patiala","rooftop","455","...","...","...","..."
"249","20024","FSCK","Future Supply Chain Kulana","Jhajjar","rooftop","67.32","...","...","...","..."
"250","20028","CIPBD2","Cipla Baddi Unit II","Baddi","rooftop","132","...","...","...","..."
"251","20029","TEIP","Taikisha Engineering","Pune","rooftop","705.25","...","...","...","..."
"252","20030","DEI","Dayalbagh Educational Institute","Agra","rooftop","20.52","...","...","...","..."
"253","20031","SPICERS","Spicer Satara","Satara","rooftop","136.5","...","...","...","..."
"254","20032","MMB2","Magneti Marelli Motherson Auto 2","Bawal","rooftop","455","...","...","...","..."
"255","20033","MINDAV","Minda VAST","Pune","rooftop","588","...","...","...","..."
"256","20034","PIGN","Pigeon India Noida","Greater Noida","rooftop","312","...","...","...","..."
"257","20038","MINDAB","Minda DCD Bhambholi","Pune","rooftop","785.6","...","...","...","..."
"258","20039","MindaSCD","Minda SCD","Pune","rooftop","404.25","...","...","...","..."
"259","20040","MINDANK","Minda DCD, Nanekarwadi","Pune","rooftop","264","...","...","...","..."
"260","20041","CKM2","CKM Phase II","Rewari","rooftop","242.08","...","...","...","..."
"261","20045","JKLC Durg","JK Lakshmi Cement Durg","Bhilai","ground","6500","...","...","...","..."
